ID,대분류,화면/모듈,세부기능,설명,작성자(자동집계),신뢰도,비고,최종담당(회의보정),검토완료
F001,실시간 대시보드,공통/레이아웃,대시보드 프레임/섹션 그리드,16개 섹션 그리드 레이아웃 + 대시보드 진입,csw(normalframe1094),추정,,,
F002,실시간 대시보드,08 나의안전,안전 체크리스트/VR 완료 상태 배지,당일 체크리스트·VR 이수 여부 동적 표시 + 바로가기,csw(normalframe1094),추정,safety 연동,,
F003,실시간 대시보드,09 지도,Leaflet 평면도 지도 + 7종 탭 필터,전체/작업자/위험구역/가스/설비/전력/위치 표시 전환,csw(normalframe1094),중복,map 기반 csw·ljh 혼재,,
F004,실시간 대시보드,09 지도,센서 마커 동적 생성·상태색·팝업,"SENSOR_DEVICES 변경 5초 반영, WS 상태색, 클릭 팝업",나(이재호),중복,센서-지오펜스 연결(ljh),,
F005,실시간 대시보드,09 지도,작업자 마커 실시간 이동·툴팁,"WS worker.position 1초 갱신, 호버 이름/부서",csw(normalframe1094),중복,,,
F006,실시간 대시보드,09 지도,지오펜스 그리기/모달/저장/렌더,다각형 그리기→유형·위험도 입력→DB저장→폴리곤 표시,csw(normalframe1094),추정,,,
F007,실시간 대시보드,09 지도,지오펜스 라이브 갱신(zone.event),WS로 동적구역 실시간 추가/삭제/업데이트,csw(normalframe1094),추정,동적zone=csw,,
F008,실시간 대시보드,09 지도,R&D 시나리오 패널(단일/다중/H2S),누출 시나리오 실행·정리·진행상황 표시,csw(normalframe1094),확정,scenario_panel/시나리오=csw,,
F009,실시간 대시보드,09 지도,환경설정 패널(레이어·가스9종 토글),지오펜스/센서/작업자·가스9종 표시 토글 + 카운트,나(이재호),중복,가스9종=ljh,,
F010,실시간 대시보드,09 지도,알람 토스트,발생 알람 우하단 토스트(5초 자동소멸),csw(normalframe1094),추정,,,
F011,실시간 대시보드,10 이벤트현황,이벤트 3탭 분리(위험/주의/AI탐지),미읽음 배지·실시간 경고배너·위험 상단고정 목록,나(이재호),확정,핵심: 이벤트 3탭(ljh),,
F012,실시간 대시보드,10 이벤트현황,알람 읽음/모두읽음/24h 요약,"개별·일괄 읽음 처리, 최근24h 위험·주의 카운트",나(이재호),확정,,,
F013,실시간 대시보드,10 이벤트현황,AI 예측 알람 토글/섹션,🤖 AI 예측 알람 별도 표시 ON/OFF,나(이재호),확정,AI탐지 탭(ljh),,
F014,실시간 대시보드,11 작업자현황,작업자 도넛차트·상태 범례,정상/주의/위험 Chart.js 도넛 + 총원 + 범례,csw(normalframe1094),중복,"worker 로직=csw, NU1 차트",,
F015,실시간 대시보드,11 작업자현황,작업자 개별 상태목록·PIP 판정,Ray Casting 지오펜스 내부판정 + 근접센서 최악값,csw(normalframe1094),중복,,,
F016,실시간 대시보드,12-13 유해가스,가스 센서 캐러셀·9종 농도 테이블,"센서 전환(‹›), O2/CO/CO2/H2S/NO2/SO2/O3/NH3/VOC 값·단위·상태배지",나(이재호),확정,유해가스 9종(ljh),,
F017,실시간 대시보드,12-13 유해가스,가스값 WS 실시간 갱신·초기 백필,sensa:gasData 수신 갱신 + 최신 1건 백필,나(이재호),확정,,,
F018,실시간 대시보드,12-13 유해가스,가스 AI 예측 카드·시계열 차트,선택가스 농도카드 + 임계선 + AI 예측 점선 차트,나(이재호),중복,"차트=NU1, 예측=ljh",,
F019,실시간 대시보드,14-15 스마트전력,전력 설비 캐러셀·테이블·요약,"설비 전환, 전류/전압/위험도 테이블, 전체 합산",csw(normalframe1094),중복,전력UI 패널,,
F020,실시간 대시보드,14-15 스마트전력,전력값 WS 실시간 갱신,sensa:powerData 수신 테이블 갱신,csw(normalframe1094),중복,,,
F021,실시간 대시보드,14-15 스마트전력,전력 AI 예측 카드·시계열 차트,전류/전압/전력/온도 예측 + 색상분류 + 차트,나(이재호),중복,"동적임계치=ljh, 차트=NU1",,
F022,실시간 대시보드,16 AI성능,AI 예측 성능 패널(P/R/F1/Acc),TP/FP/FN 카드 + Precision·Recall·F1·Accuracy 바 + 최근5건,나(이재호),중복,"AI성능=ljh기반, csw 커밋",,
F023,실시간 대시보드,실시간통신,WebSocket 연결·4그룹 구독,/ws/dashboard/ alarms·workers·sensors·zones 구독,csw(normalframe1094),중복,"WS구조=csw, FastAPI연동=NU1",,
F024,실시간 대시보드,실시간통신,이벤트 버스(WS→SenSa 이벤트 변환),"CustomEvent emit/on, 메시지 타입별 섹션 dispatch",csw(normalframe1094),추정,,,
F025,실시간 대시보드,서버API,지오펜스 판정 엔진(check-geofence),작업자 좌표 기반 진입감지 + 근접센서 최악값 + 알람,나(이재호),중복,센서-지오펜스 연결(ljh),,
F026,실시간 대시보드,서버API,AI Forecast API(ARIMA/선형),"ARIMA(1,1,0) 또는 선형외삽 예측 + z-score 이상 메시지",나(이재호),확정,ARIMA 예측(ljh),,
F027,실시간 대시보드,서버API,Prometheus AI forecast 메트릭,예측 실행시간·호출수 메트릭 노출,csw(normalframe1094),추정,관측=csw,,
F028,백오피스,사용자관리,사용자 목록/검색/정렬/페이지네이션,사용자명·소속·직위·권한·상태 검색,normaluser111,확정,백오피스 v1~6=NU1,,
F029,백오피스,사용자관리,사용자 등록/수정,프로필·권한·직위·상태·연락처 입력/수정,normaluser111,확정,,,
F030,백오피스,사용자관리,사용자 일괄 삭제/잠금/잠금해제,선택 다건 일괄 처리(본인 제외),normaluser111,확정,,,
F031,백오피스,조직관리,조직도(부서 트리) 조회,회사·부서 트리 표시/선택,normaluser111,확정,,,
F032,백오피스,조직관리,부서 추가/수정/삭제,"부서명·코드·설명, 삭제 시 소속 자동이동",normaluser111,확정,,,
F033,백오피스,조직관리,구성원 추가/제외/조직장 임명,부서 구성원 이동 및 조직장 지정,normaluser111,확정,,,
F034,백오피스,직위관리,직위 목록/등록/수정/일괄삭제,직위명·정렬·활성·설명 CRUD,normaluser111,확정,,,
F035,백오피스,장비관리,장비 목록/검색/필터/페이지네이션,장비ID·이름·센서타입·상태·활성 검색,normaluser111,확정,,,
F036,백오피스,장비관리,장비 등록/수정/일괄삭제/활성토글,장비 메타·좌표·단위 CRUD + 일괄,normaluser111,확정,,,
F037,백오피스,장비관리,장비 좌표→지오펜스 자동매핑,활성 장비 좌표 기준 지오펜스 재계산,normaluser111,추정,,,
F038,백오피스,장비관리,장비 CSV 일괄 업로드 + 변경이력,"upsert 업로드, 변경 이력 자동 기록/조회",normaluser111,확정,,,
F039,백오피스,지도편집,지오펜스+장비 통합 편집 캔버스,평면도 위 폴리곤·마커 시각 편집,normaluser111,확정,,,
F040,백오피스,지도편집,지오펜스 등록/수정/삭제,유형·위험도·폴리곤 좌표 CRUD,normaluser111,확정,,,
F041,백오피스,평면도이미지,평면도 이미지 목록/등록/수정/삭제,"이미지 업로드·메타·활성, 보호 규칙",normaluser111,확정,평면도 관리(v7)=NU1,,
F042,백오피스,평면도이미지,평면도 활성/비활성 토글,마지막 활성 이미지 보호,normaluser111,확정,,,
F043,백오피스,공통코드,코드그룹/코드 CRUD + 일괄,그룹·코드값 등록/수정/삭제/활성토글,normaluser111,확정,,,
F044,백오피스,위험유형,위험 카테고리/유형 CRUD,분류·유형·지도표시 여부 관리,normaluser111,확정,,,
F045,백오피스,알람단계,알람 단계 CRUD,단계·색상·강도·우선순위 관리(시스템 보호),normaluser111,확정,,,
F046,백오피스,임계치기준,임계치 카테고리/항목 CRUD,연산자·주의값·위험값·단위 관리,normaluser111,확정,,,
F047,백오피스,메뉴권한,역할별 메뉴 권한 매트릭스/토글,admin 메뉴 보기/쓰기 권한 제어,normaluser111,추정,,,
F048,백오피스,알림정책,알림 정책(채널) CRUD,위험분류+단계별 채널(app/realtime/email/sms)·대상·템플릿,normaluser111,확정,,,
F049,백오피스,알림로그,알림 발송 이력 조회/통계,상태·채널·기간 필터 + 24h 성공/실패/대기,normaluser111,확정,,,
F050,백오피스,이벤트이력,이벤트 이력 조회/상세/일괄읽음/CSV,"레벨·유형·기간 필터, 상세모달, CSV 내보내기",normaluser111,확정,,,
F051,백오피스,공지사항,공지 CRUD + 사용자 알림발송,"고정·게시기간·채널 발송, 일괄 게시토글",normaluser111,확정,,,
F052,백오피스,감사로그,감사 로그 조회/필터 + 장비 변경이력,"액션·대상·기간 필터, 장비 이력 모달",normaluser111,확정,,,
F053,백오피스,운영-보관정책,데이터 보관정책 조회/수정/즉시실행,센서·위치·알람·로그별 보관기간 + 정리 실행,normaluser111,확정,보관정책(v7)=NU1,,
F054,백오피스,운영-백업,"데이터 백업(JSON.GZ, Celery)",타겟별 압축 백업 비동기 수행,normaluser111,확정,백업/초기화(v7)=NU1,,
F055,백오피스,운영-백업,데이터 초기화(백업 후 삭제),"'DELETE' 확인 후 백업+삭제, 감사기록",normaluser111,확정,,,
F056,백오피스,운영-백업,백업파일 목록/미리보기/다운로드/삭제,생성 백업 관리 + 스트리밍 다운로드,normaluser111,확정,,,
F057,백오피스,메인,관리 통계 랜딩,사용자·조직·직위·잠금계정 수 표시,normaluser111,추정,,,
F058,백오피스,알림채널,Console/Email/FCM/SMS 제공자,채널별 발송 구현(FCM·SMS는 스텁),normaluser111,추정,email/console=NU1,,
F059,백오피스,알림채널,Discord/Slack Webhook 발송,외부 webhook 알림(재시도 정책),서호준,확정,디스코드 알람=서호준,,
F060,계정/인증,로그인,로그인 폼·검증·역할 분기,"아이디/비번 검증, 실패처리, 관리자→백오피스 분기",csw(normalframe1094),확정,로그인 뼈대=csw,,
F061,계정/인증,회원가입,회원가입 폼·유효성·완료처리,필수/선택 필드 검증 + 계정 생성,csw(normalframe1094),확정,,,
F062,계정/인증,내정보,내 정보 조회 페이지,기본정보·소속·직급·연락처 표시,csw(normalframe1094),확정,내 정보 페이지=csw,,
